time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-12-15T19:30:02.170Z,-4.632,153.016,52,6.1,mww,510,11.8,,0.87,us,usp000jx05,2015-06-30T16:59:04.029Z,"New Ireland region, Papua New Guinea",earthquake,,,,,reviewed,us,us
2012-12-17T09:16:30.900Z,-0.649,123.807,44.2,6.1,mww,424,24.6,,0.84,us,usp000jx2e,2014-11-07T01:49:37.275Z,"Sulawesi, Indonesia",earthquake,,3.3,,,reviewed,us,us
2012-12-21T22:28:08.570Z,-14.344,167.286,200.7,6.7,mww,521,13.7,,0.81,us,usp000jx85,2014-11-07T01:49:38.383Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2013-01-05T08:58:19.330Z,55.393,-134.652,10,7.5,mww,659,28.5,,1.26,us,usp000jxum,2015-06-30T16:59:04.031Z,"Southeastern Alaska",earthquake,,,,,reviewed,us,us
2013-01-15T16:09:37.080Z,-62.571,-161.432,10,6.1,mww,75,40.8,,1.13,us,usp000jyev,2014-11-07T01:49:50.243Z,"Pacific-Antarctic Ridge",earthquake,,,,,reviewed,us,us
2013-01-21T22:22:52.760Z,4.927,95.907,12,6.1,mww,498,16.5,,1.24,us,usb000esgn,2015-06-30T16:59:04.033Z,"47km SSW of Sigli, Indonesia",earthquake,,,,,reviewed,us,us
2013-01-28T16:38:53.580Z,42.605,79.708,15,6.1,mww,548,14.5,,0.76,us,usc000ewqq,2015-06-30T16:59:04.035Z,"60km SE of Kegen, Kazakhstan",earthquake,,,,,reviewed,us,us
2013-01-30T20:15:43.340Z,-28.094,-70.653,45,6.8,mww,596,19.3,,1.07,us,usc000eyp3,2015-06-30T16:59:04.036Z,"56km NNE of Vallenar, Chile",earthquake,,,,,reviewed,us,us
2013-01-30T23:03:43.660Z,-10.634,166.372,10,6.1,mww,301,28.9,,0.92,us,usc000eyur,2014-11-07T01:49:54.832Z,"59km E of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-01-31T03:33:43.720Z,-10.64,166.367,9,6.1,mww,450,16.3,,0.92,us,usc000ez0w,2015-06-30T16:59:04.037Z,"60km E of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-01T05:36:41.790Z,-11.104,165.532,15,6,mww,313,28.5,,0.92,us,usc000ezil,2014-11-07T01:49:57.697Z,"53km SW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-01T22:16:34.170Z,-10.896,165.379,10,6.3,mww,309,29.5,,1.31,us,usc000ezv6,2014-11-07T01:49:58.616Z,"53km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-01T22:18:33.070Z,-11.12,165.378,10,6.4,mww,158,28.1,,1.3,us,usc000ezw4,2014-11-07T01:49:58.729Z,"66km SW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-02T14:17:35.130Z,42.77,143.092,107,6.9,mww,686,28,,0.86,us,usc000f03a,2015-06-30T16:59:04.038Z,"19km SSW of Obihiro, Japan",earthquake,,,,,reviewed,us,us
2013-02-02T18:58:06.480Z,-10.887,165.284,6,6,mwb,343,30.3,,0.8,us,usc000f05y,2014-11-07T01:49:59.825Z,"67km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T00:07:22.100Z,-10.864,165.248,11,6,mww,341,29.6,,0.58,us,usc000f1r5,2015-06-30T16:59:04.039Z,"66km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T01:12:25.830Z,-10.799,165.114,24,8,mww,460,20.9,,1.29,us,usc000f1s0,2015-08-11T16:43:58.344Z,"76km W of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T01:23:19.760Z,-11.183,164.882,10,7.1,mww,550,18.4,,1.19,us,usc000f1se,2014-11-07T01:50:01.073Z,"114km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7,mww,445,17.5,,1.22,us,usc000f1ts,2014-11-07T01:50:01.289Z,"27km NNW of Lata, Solomon Islands",earthquake,,5.5,,,reviewed,us,us
